"","card1","card2","card3","card4","card5","winloss"
"1",4,9,0,7,0,"Push"
"2",3,5,10,0,0,"Loss"
"3",11,10,0,0,0,"Win"
"4",10,10,0,0,0,"Win"
"5",2,4,2,2,1,"Loss"
"6",4,3,6,0,0,"Win"
"7",3,8,5,10,0,"Loss"
"8",10,10,0,0,0,"Win"
"9",5,4,10,0,0,"Win"
"10",10,10,0,0,0,"Win"
"11",3,5,8,0,0,"Loss"
"12",10,4,0,0,0,"Win"
"13",8,10,0,0,0,"Win"
"14",10,10,0,0,0,"Push"
"15",5,10,0,7,0,"Loss"
"16",10,3,0,0,0,"Loss"
"17",6,10,0,10,0,"Loss"
"18",8,4,0,1,0,"Loss"
"19",6,2,10,0,0,"Loss"
"20",4,11,5,0,0,"Win"
"21",10,10,0,0,0,"Win"
"22",4,7,10,0,0,"Win"
"23",9,5,0,6,0,"Push"
"24",6,4,10,0,0,"Win"
"25",2,2,11,8,0,"Loss"
"26",5,10,0,0,0,"Loss"
"27",10,3,0,0,0,"Loss"
"28",10,2,0,10,0,"Loss"
"29",2,6,11,0,0,"Win"
"30",6,6,0,0,0,"Loss"
"31",5,10,0,7,0,"Loss"
"32",6,10,0,10,0,"Loss"
"33",5,6,10,0,0,"Win"
"34",11,10,0,0,0,"Push"
"35",10,7,0,0,0,"Push"
"36",10,2,0,0,0,"Loss"
"37",2,3,10,9,0,"Loss"
"38",10,6,0,10,0,"Loss"
"39",7,9,0,5,0,"Win"
"40",3,9,0,1,1,"Loss"
"41",3,1,10,3,0,"Push"
"42",3,10,0,10,0,"Loss"
"43",8,9,0,0,0,"Loss"
"44",10,9,0,0,0,"Win"
"45",4,10,0,9,0,"Loss"
"46",2,10,0,8,0,"Win"
"47",2,9,1,0,0,"Win"
"48",8,10,0,0,0,"Loss"
"49",6,5,10,0,0,"Win"
"50",8,9,0,0,0,"Win"
"51",11,10,0,0,0,"Win"
"52",10,4,0,2,10,"Loss"
"53",10,4,0,6,0,"Win"
"54",9,10,0,0,0,"Push"
"55",10,10,0,0,0,"Push"
"56",2,10,0,3,7,"Loss"
"57",5,11,2,0,0,"Loss"
"58",9,2,6,0,0,"Loss"
"59",2,8,10,0,0,"Win"
"60",9,10,0,0,0,"Win"
"61",2,11,4,0,0,"Loss"
"62",7,9,0,0,0,"Loss"
"63",10,10,0,0,0,"Win"
"64",9,6,0,6,0,"Win"
"65",9,10,0,0,0,"Loss"
"66",4,1,10,7,0,"Loss"
"67",6,10,0,8,0,"Loss"
"68",10,6,0,3,0,"Loss"
"69",3,7,9,0,0,"Win"
"70",10,10,0,0,0,"Win"
